약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
LREC,,,,,우수,0.10,International Conference on Language Resources and Evaluation (LREC),conf/lrec
MASCOTS,우수,2,,,우수,0.30,"IEEE/ACM International Symposium on Modeling, Analysis, and Simulation On Computer and Telecommunication Systems (MASCOTS)",conf/mascots
MASS,,1,,,우수,0.15,IEEE International Conference on Mobile Adhoc and Sensor Systems (MASS),conf/mass
MEMSYS,,,,,우수,0.10,International Symposium on Memory Systems (MEMSYS),conf/memsys
MFCS,,,,,우수,0.10,International Symposium on Mathematical Foundations of Computer Science (MFCS),conf/mfcs
MICCAI,우수,1,,O,최우수,0.55,International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI),conf/miccai
MICRO,최우수,4,O,O,최우수,1.00,Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),conf/micro
MIDDLEWARE,우수,2,,,우수,0.30,International Middleware Conference (Middleware),conf/middleware
MLSys,우수,,,,우수,0.20,Conference on Machine Learning and Systems (MLSys),conf/mlsys
MM,우수,4,O,O,우수,0.80,ACM International Conference on Multimedia (MM),conf/mm
MMsys,우수,,,,,0.10,ACM SIGMM Conference on Multimedia Systems (MMSys),conf/mmsys
MobiCom,최우수,4,O,O,최우수,1.00,International Conference on Mobile Computing and Networking (MobiCom),conf/mobicom
MobiHoc,우수,3,O,O,우수,0.75,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing (MobiHoc)",conf/mobihoc
MobileHCI,,,,,우수,0.10,International Conference on Human-Computer Interaction with Mobile Devices and Services (MobileHCI),conf/mhci
MobiSys,최우수,3,,O,최우수,0.75,"ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services (MobiSys)",conf/mobisys
MODELS,우수,2,,,우수,0.30,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems (MoDELS),conf/models
MSR,우수,,,,우수,0.20,IEEE/ACM International Conference on Mining Software Repositories (MSR),conf/msr
MSST,우수,1,,,우수,0.25,IEEE Conference on Mass Storage Systems and Technologies (MSST),conf/mss
NAACL/HLT,최우수,2,,,최우수,0.50,North American Chapter of the Association for Computational Linguistics (NAACL),conf/naacl
NDSS,최우수,2,O,O,최우수,0.90,Network and Distributed System Security Symposium (NDSS),conf/ndss
NeurIPS/NIPS (oral),최우수,4,O,O,최우수,1.00,Conference on Neural Information Processing Systems (NeurIPS) (oral),conf/nips
NeurIPS/NIPS (poster),최우수,,O,O,최우수,0.80,Conference on Neural Information Processing Systems (NeurIPS) (poster),conf/nips
NeurIPS/NIPS (spotlight),최우수,2,O,O,최우수,0.90,Conference on Neural Information Processing Systems (NeurIPS) (spotlight),conf/nips
NOMS,우수,1,,,우수,0.25,IEEE/IFIP Network Operations and Management Symposium (NOMS),conf/noms
NOSSDAV,,1,,,우수,0.15,International Workshop on Network and Operating System Support for Digital Audio and Video (NOSSDAV),conf/nossdav
